   /wt -l4 before signal

   42   122 [  3]       sqldk!SOS_Task::PostWait
   78   613 [  2]     launchpad!EventInternal<SuspendQueueSLock>::Wait
   59  1300 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
    6     0 [  2]     launchpad!CSQLSatelliteConnection::FireAuthenticationXEvent
   65  1306 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
    1     0 [  2]     KERNEL32!TlsGetValueStub
    7     0 [  2]     KERNEL32!TlsGetValue
   79  1314 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
    7     0 [  2]     launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   14     0 [  3]       launchpad!SOS_ExternalAutoWait::SOS_ExternalAutoWait
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   22     8 [  3]       launchpad!SOS_ExternalAutoWait::SOS_ExternalAutoWait
   51     0 [  4]         sqldk!SOS_Task::PushWait
   30    59 [  3]       launchpad!SOS_ExternalAutoWait::SOS_ExternalAutoWait
   11    89 [  2]     launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
    1     0 [  3]       KERNEL32!TlsGetValueStub
    7     0 [  3]       KERNEL32!TlsGetValue
   29    97 [  2]     launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   12     0 [  3]       sqldk!ThreadScheduler::SwitchPreemptive
   96     0 [  4]         sqldk!SOS_Scheduler::TaskTransition
   18    96 [  3]       sqldk!ThreadScheduler::SwitchPreemptive
   80     0 [  4]         sqldk!ThreadScheduler::StartNextWorker
    1     0 [  4]         KERNEL32!SetEvent
    8     0 [  4]         KERNELBASE!SetEvent
   22   185 [  3]       sqldk!ThreadScheduler::SwitchPreemptive
   34   304 [  2]     launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   82  1652 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
   14     0 [  2]     launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
   21     0 [  3]       sqldk!ThreadScheduler::SwitchNonPreemptive
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   43     8 [  3]       sqldk!ThreadScheduler::SwitchNonPreemptive
   58     0 [  4]         sqldk!SOS_Scheduler::ResumeNoCuzz
   53     0 [  4]         sqldk!SOS_Scheduler::WakeUpScheduler
   47   119 [  3]       sqldk!ThreadScheduler::SwitchNonPreemptive
  100     0 [  4]         sqldk!SOS_Scheduler::Switch
   53   219 [  3]       sqldk!ThreadScheduler::SwitchNonPreemptive
   46     0 [  4]         sqldk!SOS_Scheduler::TaskTransition
   65   265 [  3]       sqldk!ThreadScheduler::SwitchNonPreemptive
   20   330 [  2]     launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
    1     0 [  3]       KERNEL32!TlsGetValueStub
    7     0 [  3]       KERNEL32!TlsGetValue
   29   338 [  2]     launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
   40     0 [  2]     sqldk!SOS_Task::PopWait
   43     0 [  3]       sqldk!SOS_Scheduler::UpdateWaitTimeStats
    1     0 [  4]         KERNEL32!QueryPerformanceCounterStub
   19     0 [  4]         ntdll!RtlQueryPerformanceCounter
   83    20 [  3]       sqldk!SOS_Scheduler::UpdateWaitTimeStats
    6     0 [  4]         sqldk!_security_check_cookie
   93    26 [  3]       sqldk!SOS_Scheduler::UpdateWaitTimeStats
   45   119 [  2]     sqldk!SOS_Task::PopWait
   94  2183 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
   49     0 [  2]     launchpad!SNIRemoveProvider
   30     0 [  3]       launchpad!CryptoBase::RemoveX
   56    30 [  2]     launchpad!SNIRemoveProvider
   11     0 [  3]       launchpad!CCriticalSectionSOS::Enter
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   33     8 [  3]       launchpad!CCriticalSectionSOS::Enter
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   64    16 [  3]       launchpad!CCriticalSectionSOS::Enter
   61   110 [  2]     launchpad!SNIRemoveProvider
    6     0 [  3]       launchpad!SOS_UnfairRecursiveMutexExtendedGuarantee::Release
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   20     8 [  3]       launchpad!SOS_UnfairRecursiveMutexExtendedGuarantee::Release
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   38    10 [  3]       launchpad!SOS_UnfairRecursiveMutexExtendedGuarantee::Release
   73   158 [  2]     launchpad!SNIRemoveProvider
   24     0 [  3]       launchpad!Sspi::DecConnBufSize
    6     0 [  4]         launchpad!_security_check_cookie
   30     6 [  3]       launchpad!Sspi::DecConnBufSize
   80   194 [  2]     launchpad!SNIRemoveProvider
    6     0 [  3]       launchpad!Sspi::`scalar deleting destructor'
   21     0 [  4]         launchpad!Sspi::~Sspi
   32     0 [  4]         launchpad!CryptoBase::~CryptoBase
   30    53 [  3]       launchpad!Sspi::`scalar deleting destructor'
   20     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::Free
   35     0 [  4]         sqldk!CMemThread<CMemObj>::Free
   35   108 [  3]       launchpad!Sspi::`scalar deleting destructor'
   96   337 [  2]     launchpad!SNIRemoveProvider
  109  2616 [  1]   launchpad!CSQLSatelliteConnection::AuthenticateConnection
   40  2725 [  0] launchpad!CLaunchContext::LaunchServTask
    1     0 [  1]   launchpad!memset
  398     0 [  1]   MSVCR120!memset
   49  3124 [  0] launchpad!CLaunchContext::LaunchServTask
   12     0 [  1]   sqldk!SOS_OS::CreateRingBuffer
    1     0 [  2]     KERNEL32!TlsGetValueStub
    7     0 [  2]     KERNEL32!TlsGetValue
   27     8 [  1]   sqldk!SOS_OS::CreateRingBuffer
   69     0 [  2]     sqldk!SOS_RingBuffer::Create
   12     0 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   28     8 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   41     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::PromoteIfNecessary
   40    49 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   55     0 [  4]         sqldk!CMemThread<CMemObj>::Alloc
   47   104 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   76   151 [  2]     sqldk!SOS_RingBuffer::Create
    1     0 [  3]       sqldk!memset
28686     0 [  3]       MSVCR120!memset
   86 28838 [  2]     sqldk!SOS_RingBuffer::Create
   12     0 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   28     8 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   41     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::PromoteIfNecessary
   40    49 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   55     0 [  4]         sqldk!CMemThread<CMemObj>::Alloc
   47   104 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
  121 28989 [  2]     sqldk!SOS_RingBuffer::Create
   36 29118 [  1]   sqldk!SOS_OS::CreateRingBuffer
   31     0 [  2]     sqldk!TList<SOS_Node,SOS_RingBuffer,0,TListSLock>::AppendElem
   44 29149 [  1]   sqldk!SOS_OS::CreateRingBuffer
   52 32317 [  0] launchpad!CLaunchContext::LaunchServTask
   16     0 [  1]   launchpad!CAutoRefc<SOS_RingBuffer>::operator=
   59 32333 [  0] launchpad!CLaunchContext::LaunchServTask
  150     0 [  1]   launchpad!CSQLSatelliteCommunication::CSQLSatelliteCommunication
   67 32483 [  0] launchpad!CLaunchContext::LaunchServTask
   41     0 [  1]   launchpad!CSQLSatelliteCommunication::Init
   14     0 [  2]     launchpad!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
   46    14 [  1]   launchpad!CSQLSatelliteCommunication::Init
   14     0 [  2]     launchpad!CAutoRg<_SQLSatellite_ColumnSchema>::operator=
   55    28 [  1]   launchpad!CSQLSatelliteCommunication::Init
    6     0 [  2]     launchpad!_security_check_cookie
   65    34 [  1]   launchpad!CSQLSatelliteCommunication::Init
   72 32582 [  0] launchpad!CLaunchContext::LaunchServTask
    7     0 [  1]   launchpad!CSQLSatelliteConnection::PostReadRequest
   25     0 [  2]     launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   13     0 [  3]       launchpad!SOS_RWLock::GetLock
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   33     8 [  3]       launchpad!SOS_RWLock::GetLock
   56     0 [  4]         sqldk!SOS_RWLock::GetLongWait
   45    64 [  3]       launchpad!SOS_RWLock::GetLock
   33   109 [  2]     launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   29     0 [  3]       launchpad!SNIReadAsync
   27     0 [  4]         launchpad!SNI_Conn::StartReadAsyncTimeout
   37    27 [  3]       launchpad!SNIReadAsync
   49     0 [  4]         launchpad!Np::ReadAsync
   49    76 [  3]       launchpad!SNIReadAsync
   30     0 [  4]         launchpad!SNI_Conn::TryCancelReadAsyncTimeout
   56   106 [  3]       launchpad!SNIReadAsync
    9     0 [  4]         launchpad!SNITime::GetTick
   75   115 [  3]       launchpad!SNIReadAsync
   39   299 [  2]     launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   29     0 [  3]       sqldk!SOS_RWLock::ReleaseLock
   56   328 [  2]     launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   15   384 [  1]   launchpad!CSQLSatelliteConnection::PostReadRequest
   15     0 [  2]     launchpad!CSQLSatelliteConnection::ReadCallBackInternal
   40     0 [  3]       launchpad!CSQLSatelliteConnection::ReadOneFullMessage
   21    40 [  2]     launchpad!CSQLSatelliteConnection::ReadCallBackInternal
   27     0 [  3]       launchpad!CSQLSatelliteConnection::DeliverMessage
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   62     2 [  3]       launchpad!CSQLSatelliteConnection::DeliverMessage
    9     0 [  3]       launchpad!EventInternal<SuspendQueueSLock>::SignalAll
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   28     2 [  3]       launchpad!EventInternal<SuspendQueueSLock>::SignalAll
    6     0 [  4]         sqldk!SOS_Scheduler::ResumeBulk
   32     8 [  3]       launchpad!EventInternal<SuspendQueueSLock>::SignalAll
   28   144 [  2]     launchpad!CSQLSatelliteConnection::ReadCallBackInternal
   25     0 [  3]       launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   45     0 [  4]         launchpad!SOS_RWLock::GetLock
   33    45 [  3]       launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   62     0 [  4]         launchpad!SNIReadAsync
   39   107 [  3]       launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   29     0 [  4]         sqldk!SOS_RWLock::ReleaseLock
   52   136 [  3]       launchpad!CSQLSatelliteConnection::PostReadRequestInternal
   39   332 [  2]     launchpad!CSQLSatelliteConnection::ReadCallBackInternal
   24   755 [  1]   launchpad!CSQLSatelliteConnection::PostReadRequest
   96 33361 [  0] launchpad!CLaunchContext::LaunchServTask
   19     0 [  1]   launchpad!CSQLSatelliteConnection::GetNextMessage
    2     0 [  2]     sqldk!SystemThread::GetCurrentId
   61     2 [  1]   launchpad!CSQLSatelliteConnection::GetNextMessage
  109 33424 [  0] launchpad!CLaunchContext::LaunchServTask
   20     0 [  1]   launchpad!CSQLSatelliteCommunication::BindReadSNIPacket
    7     0 [  2]     launchpad!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   27     7 [  1]   launchpad!CSQLSatelliteCommunication::BindReadSNIPacket
    4     0 [  2]     launchpad!CSQLSatelliteMessageServiceStart::BindBufferForRead
   21     0 [  3]       launchpad!CSQLSatelliteMessage::BindBufferForRead
   17     0 [  4]         launchpad!CSQLSatelliteMessage::FireXEvent
   34    17 [  3]       launchpad!CSQLSatelliteMessage::BindBufferForRead
   28    51 [  2]     launchpad!CSQLSatelliteMessageServiceStart::BindBufferForRead
   37    86 [  1]   launchpad!CSQLSatelliteCommunication::BindReadSNIPacket
  130 33547 [  0] launchpad!CLaunchContext::LaunchServTask
   12     0 [  1]   sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
    1     0 [  2]     KERNEL32!TlsGetValueStub
    8     0 [  2]     KERNEL32!TlsGetValue
   28     9 [  1]   sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   41     0 [  2]     sqldk!CMemPartitioned<CMemThread<CMemObj> >::PromoteIfNecessary
   40    50 [  1]   sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   11     0 [  2]     sqldk!CMemThread<CMemObj>::Alloc
    1     0 [  3]       KERNEL32!TlsGetValueStub
    7     0 [  3]       KERNEL32!TlsGetValue
   22     8 [  2]     sqldk!CMemThread<CMemObj>::Alloc
    9     0 [  3]       sqldk!CMemThread<CMemObj>::GetAllocAndObjectAccess
   22     0 [  4]         sqldk!SOS_UnfairMutexPair::AcquirePair
   24    22 [  3]       sqldk!CMemThread<CMemObj>::GetAllocAndObjectAccess
   29    54 [  2]     sqldk!CMemThread<CMemObj>::Alloc
   20     0 [  3]       sqldk!CSlotPageMgr::PbAllocate
   36    74 [  2]     sqldk!CMemThread<CMemObj>::Alloc
   15     0 [  3]       sqldk!TVarPageMgr<0>::PbAllocate
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
  101     8 [  3]       sqldk!TVarPageMgr<0>::PbAllocate
   70     0 [  4]         sqldk!CVariableInfo::CVarBlock::PvbUse
  180    78 [  3]       sqldk!TVarPageMgr<0>::PbAllocate
   55   332 [  2]     sqldk!CMemThread<CMemObj>::Alloc
   47   437 [  1]   sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
  141 34031 [  0] launchpad!CLaunchContext::LaunchServTask
    1     0 [  1]   launchpad!memset
  306     0 [  1]   MSVCR120!memset
  168 34338 [  0] launchpad!CLaunchContext::LaunchServTask
   40     0 [  1]   launchpad!CSQLSatelliteMessageServiceStart::ReadPayLoad
   18     0 [  2]     MSVCR120!memcpy_s
    9     0 [  3]       MSVCR120!memcpy
    4     0 [  3]       MSVCR120!MoveSmall
   26    13 [  2]     MSVCR120!memcpy_s
  145    39 [  1]   launchpad!CSQLSatelliteMessageServiceStart::ReadPayLoad
   16     0 [  2]     MSVCR120!memcpy_s
  164    55 [  1]   launchpad!CSQLSatelliteMessageServiceStart::ReadPayLoad
  172 34557 [  0] launchpad!CLaunchContext::LaunchServTask
   14     0 [  1]   launchpad!CSQLSatelliteMessage::FireXEvent
    6     0 [  2]     launchpad!_security_check_cookie
   17     6 [  1]   launchpad!CSQLSatelliteMessage::FireXEvent
  178 34580 [  0] launchpad!CLaunchContext::LaunchServTask
   16     0 [  1]   launchpad!MessageTelemetry::Record
  194 34596 [  0] launchpad!CLaunchContext::LaunchServTask
   28     0 [  1]   launchpad!CLaunchContext::LaunchInternal
    1     0 [  2]     launchpad!memset
  306     0 [  2]     MSVCR120!memset
   47   307 [  1]   launchpad!CLaunchContext::LaunchInternal
    1     0 [  2]     launchpad!memset
  412     0 [  2]     MSVCR120!memset
   53   720 [  1]   launchpad!CLaunchContext::LaunchInternal
   17     0 [  2]     launchpad!ConnectionStore::InsertConnection
   12     0 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   28     8 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   41     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::PromoteIfNecessary
   40    49 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   55     0 [  4]         sqldk!CMemThread<CMemObj>::Alloc
   47   104 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   47   151 [  2]     launchpad!ConnectionStore::InsertConnection
    2     0 [  3]       sqldk!SystemThread::GetCurrentId
   74   153 [  2]     launchpad!ConnectionStore::InsertConnection
   71   947 [  1]   launchpad!CLaunchContext::LaunchInternal
   36     0 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   24     0 [  3]       sqldk!SystemAffinity::SystemAffinity
   40    24 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   22     0 [  3]       sqldk!SystemAffinity::Clear
   44    46 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
    1     0 [  3]       launchpad!memset
  272     0 [  3]       MSVCR120!memset
   47   319 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   11     0 [  3]       launchpad!SetupSOSResourcePoolData
   96     0 [  4]         launchpad!SOSExternalResourcePoolData::SetPoolName
   25    96 [  3]       launchpad!SetupSOSResourcePoolData
    4     0 [  4]         sqldk!GroupAffinity::GroupAffinity
   28   100 [  3]       launchpad!SetupSOSResourcePoolData
    2     0 [  4]         sqldk!GroupAffinity::SetGroup
   31   102 [  3]       launchpad!SetupSOSResourcePoolData
    2     0 [  4]         sqldk!GroupAffinity::SetMask
   33   104 [  3]       launchpad!SetupSOSResourcePoolData
   24     0 [  4]         sqldk!SystemAffinity::SystemAffinity
   36   128 [  3]       launchpad!SetupSOSResourcePoolData
    4     0 [  4]         sqldk!SystemAffinity::SetMask
   55   132 [  3]       launchpad!SetupSOSResourcePoolData
    6     0 [  4]         launchpad!_security_check_cookie
   59   138 [  3]       launchpad!SetupSOSResourcePoolData
   55   516 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   24     0 [  3]       launchpad!SatelliteSessionManager::ConstructSatelliteSession
   86     0 [  4]         launchpad!SecurityContextManager::AcquireSecurityContext
   39    86 [  3]       launchpad!SatelliteSessionManager::ConstructSatelliteSession
  150     0 [  4]         launchpad!Satellite_ResourceManager::AcquireUpdatedSatelliteJobObjectInternal
   52   236 [  3]       launchpad!SatelliteSessionManager::ConstructSatelliteSession
  109     0 [  4]         launchpad!SatelliteSessionManager::CreateNewSessionObject
   65   345 [  3]       launchpad!SatelliteSessionManager::ConstructSatelliteSession
  370   926 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   12     0 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   28     8 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   41     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::PromoteIfNecessary
   40    49 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   55     0 [  4]         sqldk!CMemThread<CMemObj>::Alloc
   47   104 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
  380  1077 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   18     0 [  3]       MSVCR120!memcpy_s
  213     0 [  4]         MSVCR120!memcpy
   26   213 [  3]       MSVCR120!memcpy_s
  406  1316 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   12     0 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   28     8 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   41     0 [  4]         sqldk!CMemPartitioned<CMemThread<CMemObj> >::PromoteIfNecessary
   40    49 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
   55     0 [  4]         sqldk!CMemThread<CMemObj>::Alloc
   47   104 [  3]       sqldk!CMemPartitioned<CMemThread<CMemObj> >::Alloc
  416  1467 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
   18     0 [  3]       MSVCR120!memcpy_s
   45     0 [  4]         MSVCR120!memcpy
   26    45 [  3]       MSVCR120!memcpy_s
  437  1538 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
    6     0 [  3]       launchpad!_security_check_cookie
  447  1544 [  2]     launchpad!CLaunchContext::ConstructSessionSpecificObjects
  105  2938 [  1]   launchpad!CLaunchContext::LaunchInternal
   41     0 [  2]     launchpad!CLaunchContext::Launch
    1     0 [  3]       KERNEL32!TlsGetValueStub
    7     0 [  3]       KERNEL32!TlsGetValue
   55     8 [  2]     launchpad!CLaunchContext::Launch
    7     0 [  3]       launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   30     0 [  4]         launchpad!SOS_ExternalAutoWait::SOS_ExternalAutoWait
   11    30 [  3]       launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   29    38 [  3]       launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   22     0 [  4]         sqldk!ThreadScheduler::SwitchPreemptive
   34    60 [  3]       launchpad!AutoSwitchPreemptive::AutoSwitchPreemptive
   66   102 [  2]     launchpad!CLaunchContext::Launch
   43     0 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
    1     0 [  4]         KERNEL32!QueryPerformanceCounterStub
   19     0 [  4]         ntdll!RtlQueryPerformanceCounter
   53    20 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   20     0 [  4]         RLauncher!GetInstance
   65    40 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
  205     0 [  4]         RLauncher!GetInstance
   70   245 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   12     0 [  4]         RLauncher
   93   257 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   20     0 [  4]         RLauncher!GetInstance
   98   277 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
    1     0 [  4]         MSVCR120!operator delete
   13     0 [  4]         MSVCR120!free
  101   291 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   28     0 [  4]         RLauncher
  108   319 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   20     0 [  4]         RLauncher!GetInstance
  112   339 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
    6     0 [  4]         RLauncher!GetInstance
  121   345 [  3]       RLauncher!SQLSatellite_GetLauncherAPI
   69   568 [  2]     launchpad!CLaunchContext::Launch
   14     0 [  3]       launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
   65     0 [  4]         sqldk!ThreadScheduler::SwitchNonPreemptive
   20    65 [  3]       launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
    1     0 [  4]         KERNEL32!TlsGetValueStub
    7     0 [  4]         KERNEL32!TlsGetValue
   29    73 [  3]       launchpad!AutoSwitchPreemptive::~AutoSwitchPreemptive
   40     0 [  3]       sqldk!SOS_Task::PopWait
   93     0 [  4]         sqldk!SOS_Scheduler::UpdateWaitTimeStats
   45    93 [  3]       sqldk!SOS_Task::PopWait
   83   808 [  2]     launchpad!CLaunchContext::Launch
  112  3829 [  1]   launchpad!CLaunchContext::LaunchInternal
   24     0 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   50     0 [  3]       launchpad!SNIPacketAllocateEx2
   41     0 [  4]         launchpad!SNIMemRegion::Pop
   98    41 [  3]       launchpad!SNIPacketAllocateEx2
   50   139 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   14     0 [  3]       launchpad!CSQLSatelliteMessage::FireXEvent
    6     0 [  4]         launchpad!_security_check_cookie
   17     6 [  3]       launchpad!CSQLSatelliteMessage::FireXEvent
   59   162 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   18     0 [  3]       MSVCR120!memcpy_s
    9     0 [  4]         MSVCR120!memcpy
    4     0 [  4]         MSVCR120!MoveSmall
   26    13 [  3]       MSVCR120!memcpy_s
   91   201 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
   18     0 [  3]       MSVCR120!memcpy_s
   45     0 [  4]         MSVCR120!memcpy
   26    45 [  3]       MSVCR120!memcpy_s
  114   272 [  2]     launchpad!CSQLSatelliteCommunication::SendResumeWithLoginInfo
